Date,Holiday Name,Information,Jurisdiction
20230126,Australia Day,Always celebrated on 26 January,Australian Capital Territory
20230313,Canberra Day,Held on the second Monday of March each year in Canberra to celebrate the naming ceremony of Australia's capital which took place on 12 March 1913.,Australian Capital Territory
20230407,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,Australian Capital Territory
20230408,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,Australian Capital Territory
20230409,Easter Sunday,Public Holiday as part of Easter.,Australian Capital Territory
20230410,Easter Monday,Public Holiday as part of Easter.,Australian Capital Territory
20230425,Anzac Day,Celebrated on the 25 April each year.,Australian Capital Territory
20230529,Reconciliation Day,Takes place on the first Monday on or after 27 May each year the anniversary of the 1967 referendum,Australian Capital Territory
20230612,Sovereign's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,Australian Capital Territory
20231002,Labour Day,Always on a Monday creating a long weekend. It celebrates the eight-hour working day a victory for workers in the mid-late 19th century.,Australian Capital Territory
20231225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,Australian Capital Territory
20231226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Australian Capital Territory
20230101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,New South Western Australiales
20230102,New Year's Day (observed),"As 1 January 2023 falls on a Saturday in 2023, the following Monday is observed as an additional public holiday.",New South Western Australiales
20230126,Australia Day,Always celebrated on 26 January,New South Western Australiales
20230407,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,New South Western Australiales
20230408,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,New South Western Australiales
20230409,Easter Sunday,Public Holiday as part of Easter.,New South Western Australiales
20230410,Easter Monday,Public Holiday as part of Easter.,New South Western Australiales
20230425,Anzac Day,Celebrated on the 25 April each year.,New South Western Australiales
20230612,King's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,New South Western Australiales
20230807,Bank Holiday,"Applies to banks and certain financial institutions, per the Retail Trading Act 2008",New South Western Australiales
20231002,Labour Day,Always on a Monday creating a long weekend. It celebrates the eight-hour working day a victory for workers in the mid-late 19th century.,New South Western Australiales
20231225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,New South Western Australiales
20231226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,New South Western Australiales
20230101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,Northern Territory
20230102,New Year's Day (observed),"As 1 January 2023 falls on a Saturday in 2023, the following Monday is observed as an additional public holiday.",Northern Territory
20230126,Australia Day,Always celebrated on 26 January,Northern Territory
20230407,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,Northern Territory
20230408,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,Northern Territory
20230409,Easter Sunday,Public Holiday as part of Easter.,Northern Territory
20230410,Easter Monday,Public Holiday as part of Easter.,Northern Territory
20230425,Anzac Day,Celebrated on the 25 April each year.,Northern Territory
20230501,May Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",Northern Territory
20230612,King's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,Northern Territory
20230807,Picnic Day,"Observed on the first Monday of August each year and is clebrated with a horse race, railway picnic and other social outings",Northern Territory
20231224,Christmas Eve,Part-day holiday 7pm to midnight,Northern Territory
20231225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,Northern Territory
20231226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,Northern Territory
20231231,New Year's Eve,Part-day holiday 7pm to midnight,Northern Territory
20230101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,Queensland
20230102,New Year's Day (observed),"As 1 January 2023 falls on a Saturday in 2023, the following Monday is observed as an additional public holiday.",Queensland
20230126,Australia Day,Always celebrated on 26 January,Queensland
20230407,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,Queensland
20230408,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,Queensland
20230409,Easter Sunday,Public Holiday as part of Easter.,Queensland
20230410,Easter Monday,Public Holiday as part of Easter.,Queensland
20230425,Anzac Day,Celebrated on the 25 April each year.,Queensland
20230501,Labour Day,Always on a Monday creating a long weekend. It celebrates the eight-hour working day a victory for workers in the mid-late 19th century.,Queensland
20230816,Royal Queensland Show (Brisbane only),"The Royal National Agricultural (RNA) Show Day (Brisbane only) is held on the Wednesday during the RNA Show period. The RNA Show commences on the first Friday in August, unless the first Friday is prior to 5 August, then it commences on the second Friday of August.",Queensland
20231002,King’s Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,Queensland
20231224,Christmas Eve,"From 2019, the Holidays Act 1983 provides for a part-day public holiday from 6pm to midnight on Christmas Eve",Queensland
20231225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,Queensland
